Id,Calories,Date,24hTime,DayOfTheWeek
1503960366,48,12/3/2016,0:00,Saturday
1503960366,48,12/3/2016,1:00,Saturday
1503960366,48,12/3/2016,2:00,Saturday
1503960366,48,12/3/2016,3:00,Saturday
1503960366,48,12/3/2016,4:00,Saturday
1503960366,48,12/3/2016,5:00,Saturday
1503960366,48,12/3/2016,6:00,Saturday
1503960366,48,12/3/2016,7:00,Saturday
1503960366,48,12/3/2016,8:00,Saturday
1503960366,49,12/3/2016,9:00,Saturday
1503960366,89,12/3/2016,10:00,Saturday
1503960366,134,12/3/2016,11:00,Saturday
1503960366,130,12/3/2016,12:00,Saturday
1503960366,81,12/3/2016,13:00,Saturday
1503960366,254,12/3/2016,14:00,Saturday
1503960366,271,12/3/2016,15:00,Saturday
1503960366,141,12/3/2016,16:00,Saturday
1503960366,104,12/3/2016,17:00,Saturday
1503960366,54,12/3/2016,18:00,Saturday
1503960366,97,12/3/2016,19:00,Saturday
1503960366,58,12/3/2016,20:00,Saturday
1503960366,100,12/3/2016,21:00,Saturday
1503960366,123,12/3/2016,22:00,Saturday
1503960366,111,12/3/2016,23:00,Saturday
1503960366,55,13/3/2016,0:00,Sunday
1503960366,48,13/3/2016,1:00,Sunday
1503960366,50,13/3/2016,2:00,Sunday
1503960366,48,13/3/2016,3:00,Sunday
1503960366,48,13/3/2016,4:00,Sunday
1503960366,48,13/3/2016,5:00,Sunday
1503960366,48,13/3/2016,6:00,Sunday
1503960366,49,13/3/2016,7:00,Sunday
1503960366,49,13/3/2016,8:00,Sunday
1503960366,56,13/3/2016,9:00,Sunday
1503960366,189,13/3/2016,10:00,Sunday
1503960366,270,13/3/2016,11:00,Sunday
1503960366,52,13/3/2016,12:00,Sunday
1503960366,66,13/3/2016,13:00,Sunday
1503960366,57,13/3/2016,14:00,Sunday
1503960366,89,13/3/2016,15:00,Sunday
1503960366,91,13/3/2016,16:00,Sunday
1503960366,61,13/3/2016,17:00,Sunday
1503960366,237,13/3/2016,18:00,Sunday
1503960366,146,13/3/2016,19:00,Sunday
1503960366,87,13/3/2016,20:00,Sunday
1503960366,66,13/3/2016,21:00,Sunday
1503960366,72,13/3/2016,22:00,Sunday
1503960366,118,13/3/2016,23:00,Sunday
1503960366,56,14/3/2016,0:00,Monday
1503960366,54,14/3/2016,1:00,Monday
1503960366,49,14/3/2016,2:00,Monday
1503960366,48,14/3/2016,3:00,Monday
1503960366,48,14/3/2016,4:00,Monday
1503960366,49,14/3/2016,5:00,Monday
1503960366,48,14/3/2016,6:00,Monday
1503960366,53,14/3/2016,7:00,Monday
1503960366,68,14/3/2016,8:00,Monday
1503960366,199,14/3/2016,9:00,Monday
1503960366,59,14/3/2016,10:00,Monday
1503960366,72,14/3/2016,11:00,Monday
1503960366,66,14/3/2016,12:00,Monday
1503960366,54,14/3/2016,13:00,Monday
1503960366,59,14/3/2016,14:00,Monday
1503960366,71,14/3/2016,15:00,Monday
1503960366,68,14/3/2016,16:00,Monday
1503960366,76,14/3/2016,17:00,Monday
1503960366,96,14/3/2016,18:00,Monday
1503960366,100,14/3/2016,19:00,Monday
1503960366,124,14/3/2016,20:00,Monday
1503960366,67,14/3/2016,21:00,Monday
1503960366,48,14/3/2016,22:00,Monday
1503960366,198,14/3/2016,23:00,Monday
1503960366,56,15/3/2016,0:00,Tuesday
1503960366,55,15/3/2016,1:00,Tuesday
